Gene stable ID,Gene name,NCBI gene (formerly Entrezgene) ID
ENSGALG00010002532,,
ENSGALG00010002533,LPAR2,426086
ENSGALG00010002534,,
ENSGALG00010002535,,
ENSGALG00010002536,RGL2,121106913
ENSGALG00010002537,,
ENSGALG00010002538,,
ENSGALG00010002539,SNAP91,428635
ENSGALG00010002540,,
ENSGALG00010002541,,
ENSGALG00010002542,,
ENSGALG00010002543,UCP3,373896
ENSGALG00010002544,THSD1,418884
ENSGALG00010002545,,
ENSGALG00010002546,ATP6AP2,418573
ENSGALG00010002547,PBX4,426087
ENSGALG00010002548,,
ENSGALG00010002549,,
ENSGALG00010002550,,
ENSGALG00010002551,WDR35,421958
ENSGALG00010002552,,
ENSGALG00010002553,,
ENSGALG00010002554,EGFL6,418637
ENSGALG00010002555,,
ENSGALG00010002556,,428073
ENSGALG00010002557,,
ENSGALG00010002558,,
ENSGALG00010002559,NEK10,776071
ENSGALG00010002560,,
ENSGALG00010002561,PAAF1,419061
ENSGALG00010002562,,
ENSGALG00010002563,,
ENSGALG00010002564,,
ENSGALG00010002565,MRPS18C,770813
ENSGALG00010002566,TMSB4X,408047
ENSGALG00010002567,COA4,
ENSGALG00010002568,,
ENSGALG00010002569,GTPBP6,418672
ENSGALG00010002570,ADAM12,425843
ENSGALG00010002571,BCOR,418574
ENSGALG00010002572,,
ENSGALG00010002573,MVB12A,426089
ENSGALG00010002574,,
ENSGALG00010002575,V-BG,417047
ENSGALG00010002576,HELQ,422606
ENSGALG00010002577,MRPL48,419062
ENSGALG00010002578,,
ENSGALG00010002579,MATN3,395954
ENSGALG00010002580,,
ENSGALG00010002581,ATP13A1,426090
ENSGALG00010002582,,423959
ENSGALG00010002583,,
ENSGALG00010002584,,121106920
ENSGALG00010002585,,
ENSGALG00010002586,GPR63,100857561
ENSGALG00010002587,DOCK1,423960
ENSGALG00010002588,FAM175A,422608
ENSGALG00010002589,SLC4A7,420658
ENSGALG00010002590,ATP6V1C2,421939
ENSGALG00010002591,,418885
ENSGALG00010002592,RPS6KA3,418605
ENSGALG00010002593,,
ENSGALG00010002594,,
ENSGALG00010002595,,
ENSGALG00010002596,,
ENSGALG00010002597,,770886
ENSGALG00010002598,NMT2,420529
ENSGALG00010002599,KIFC1,417037
ENSGALG00010002600,TRPA1,420180
ENSGALG00010002601,PLCXD1,418673
ENSGALG00010002602,,
ENSGALG00010002603,INSYN2A,101748342
ENSGALG00010002604,BLEC3,107054697
ENSGALG00010002604,BLEC3,100858780
ENSGALG00010002605,EOMES,428443
ENSGALG00010002606,,101750514
ENSGALG00010002607,,
ENSGALG00010002608,RPP38,420530
ENSGALG00010002609,PDIA6,421940
ENSGALG00010002610,,
ENSGALG00010002611,NPS,
ENSGALG00010002612,JPH1,420190
ENSGALG00010002613,CMC1,420659
ENSGALG00010002614,GPAT3,422610
ENSGALG00010002615,,
ENSGALG00010002616,ZNF692,427095
ENSGALG00010002617,CLRN3,423961
ENSGALG00010002618,,428008
ENSGALG00010002619,RAB6A,419063
ENSGALG00010002620,,
ENSGALG00010002621,SLC25A15,418886
ENSGALG00010002622,AZI2,420660
ENSGALG00010002623,MID1IP1,404752
ENSGALG00010002624,,
ENSGALG00010002625,FHL5,421803
ENSGALG00010002626,CHD7,421140
ENSGALG00010002627,MRPS31,418887
ENSGALG00010002628,TRIM7.2,425772
ENSGALG00010002629,,396477
ENSGALG00010002630,,
ENSGALG00010002631,,101750534
ENSGALG00010002632,HPGD,422567
ENSGALG00010002633,,
ENSGALG00010002634,RGN,395480
ENSGALG00010002635,,
ENSGALG00010002636,,
ENSGALG00010002637,,121110113
ENSGALG00010002638,FABP9,420198
ENSGALG00010002639,,
ENSGALG00010002640,,
ENSGALG00010002641,,
ENSGALG00010002642,,
ENSGALG00010002643,,
ENSGALG00010002644,KCNF1,428652
ENSGALG00010002645,,
ENSGALG00010002646,FOXO1,374231
ENSGALG00010002647,FAM168A,419066
ENSGALG00010002648,,
ENSGALG00010002649,UFL1,421804
ENSGALG00010002650,,
ENSGALG00010002651,,
ENSGALG00010002652,,
ENSGALG00010002653,EIF1AX,418606
ENSGALG00010002654,,
ENSGALG00010002655,FABP4,374165
ENSGALG00010002656,GLRA3,422568
ENSGALG00010002657,C2orf50,100859666
ENSGALG00010002658,FBXL12,100859027
ENSGALG00010002659,,
ENSGALG00010002660,,
ENSGALG00010002661,ACBD7,420531
ENSGALG00010002662,,
ENSGALG00010002663,,
ENSGALG00010002664,BZFP1,396247
ENSGALG00010002665,,
ENSGALG00010002666,,
ENSGALG00010002667,,
ENSGALG00010002668,,
ENSGALG00010002669,IL4I1,417039
ENSGALG00010002670,,
ENSGALG00010002671,,
ENSGALG00010002672,,
ENSGALG00010002673,SLC66A3,421941
ENSGALG00010002674,,
ENSGALG00010002675,,
ENSGALG00010002676,,
ENSGALG00010002677,,
ENSGALG00010002678,CCNI,422634
ENSGALG00010002679,OLAH,420532
ENSGALG00010002680,,
ENSGALG00010002681,PLEKHB1,419064
ENSGALG00010002682,UBL5,107057622
ENSGALG00010002683,,
ENSGALG00010002684,,
ENSGALG00010002685,CA8,421139
ENSGALG00010002686,,
ENSGALG00010002687,,
ENSGALG00010002688,,107053136
ENSGALG00010002689,COG6,418888
ENSGALG00010002690,,
ENSGALG00010002691,,
ENSGALG00010002692,,
ENSGALG00010002693,MSC,420179
ENSGALG00010002694,,
ENSGALG00010002695,,
ENSGALG00010002696,,
ENSGALG00010002697,,
ENSGALG00010002698,,
ENSGALG00010002699,,
ENSGALG00010002700,LHFPL1,418889
ENSGALG00010002701,TMEM196,772254
ENSGALG00010002702,,
ENSGALG00010002703,PIN1,100859153
ENSGALG00010002704,KCNB2,431181
ENSGALG00010002705,JADE3,418674
ENSGALG00010002706,ROCK2,374182
ENSGALG00010002707,RELT,419067
ENSGALG00010002708,,
ENSGALG00010002709,,
ENSGALG00010002710,,
ENSGALG00010002711,,
ENSGALG00010002712,PTPRE,423962
ENSGALG00010002713,OLFM2,107057621
ENSGALG00010002714,,
ENSGALG00010002715,,
ENSGALG00010002716,NHLRC3,418890
ENSGALG00010002717,,
ENSGALG00010002718,,
ENSGALG00010002719,,
ENSGALG00010002720,,
ENSGALG00010002721,,
ENSGALG00010002722,TRIM7.1,417040
ENSGALG00010002723,,
ENSGALG00010002724,,
ENSGALG00010002725,TSPAN7,418577
ENSGALG00010002726,,
ENSGALG00010002727,,
ENSGALG00010002728,RP2,418675
ENSGALG00010002729,,
ENSGALG00010002730,E2F6,421943
ENSGALG00010002731,,
ENSGALG00010002732,,
ENSGALG00010002733,,101751681
ENSGALG00010002734,,
ENSGALG00010002735,,
ENSGALG00010002736,,
ENSGALG00010002737,,
ENSGALG00010002738,,
ENSGALG00010002739,SLURP1,395192
ENSGALG00010002740,,
ENSGALG00010002741,PDK4,420570
ENSGALG00010002742,PROSER1,418891
ENSGALG00010002743,,
ENSGALG00010002744,,
ENSGALG00010002745,,
ENSGALG00010002746,gga-mir-7465,102465735
ENSGALG00010002747,FUT9,771133
ENSGALG00010002748,gga-mir-6634,102465370
ENSGALG00010002749,,
ENSGALG00010002750,,423963
ENSGALG00010002751,gga-mir-30c-2,777809
ENSGALG00010002752,NDUFA4,772135
ENSGALG00010002753,SLC9A7,418676
ENSGALG00010002754,gga-mir-12263,114483429
ENSGALG00010002755,gga-mir-6605,102465352
ENSGALG00010002756,STOML3,428074
ENSGALG00010002757,gga-mir-12264,114483430
ENSGALG00010002758,GREB1,421944
ENSGALG00010002759,MIR30A,
ENSGALG00010002760,RAB2A,396153
ENSGALG00010002761,,
ENSGALG00010002762,PPAN,107051197
ENSGALG00010002763,SEPTIN11,422635
ENSGALG00010002764,,
ENSGALG00010002765,MAP7D2,418607
ENSGALG00010002766,NANOS1,100857342
ENSGALG00010002767,,
ENSGALG00010002768,TRIM39.2,417041
ENSGALG00010002769,,
ENSGALG00010002770,OTC,395735
ENSGALG00010002771,,
ENSGALG00010002772,,
ENSGALG00010002773,,
ENSGALG00010002774,TBX18,395104
ENSGALG00010002775,,
ENSGALG00010002776,,
ENSGALG00010002777,,
ENSGALG00010002778,,
ENSGALG00010002779,FBXO8,422565
ENSGALG00010002780,,
ENSGALG00010002781,EIF3G,101747413
ENSGALG00010002782,GSTA3,100859645
ENSGALG00010002782,GSTA3,414896
ENSGALG00010002783,,
ENSGALG00010002784,TRIM27.2,430359
ENSGALG00010002785,,107052552
ENSGALG00010002786,,
ENSGALG00010002787,CEP44,422566
ENSGALG00010002788,,418892
ENSGALG00010002789,,
ENSGALG00010002790,CXorf23,100858121
ENSGALG00010002791,,
ENSGALG00010002792,,395611
ENSGALG00010002793,,
ENSGALG00010002794,,
ENSGALG00010002795,,
ENSGALG00010002796,PRDM8,777386
ENSGALG00010002797,,
ENSGALG00010002798,TRIM39.1,101747534
ENSGALG00010002799,,
ENSGALG00010002800,TUBGCP5,100858683
ENSGALG00010002801,FGF5,
ENSGALG00010002802,,
ENSGALG00010002803,,
ENSGALG00010002804,,
ENSGALG00010002805,FAM171A1,420528
ENSGALG00010002806,,
ENSGALG00010002807,P2RY6,396114
ENSGALG00010002808,,
ENSGALG00010002809,SH3KBP1,418608
ENSGALG00010002810,TRIM27.1,417042
ENSGALG00010002811,,
ENSGALG00010002812,TRIM13,418872
ENSGALG00010002813,,
ENSGALG00010002814,TERF1,378896
ENSGALG00010002815,,
ENSGALG00010002816,,
ENSGALG00010002817,SHFM1,772237
ENSGALG00010002818,,
ENSGALG00010002819,BMP3,422581
ENSGALG00010002820,DLEU7,101750559
ENSGALG00010002821,,
ENSGALG00010002822,,
ENSGALG00010002823,,
ENSGALG00010002824,NXPH1,420582
ENSGALG00010002825,TRIM41,417043
ENSGALG00010002826,,
ENSGALG00010002827,SBSPON,420181
ENSGALG00010002828,,
ENSGALG00010002829,,
ENSGALG00010002830,,
ENSGALG00010002831,,
ENSGALG00010002832,LPIN1,421945
ENSGALG00010002833,,
ENSGALG00010002834,MRPL53,420196
ENSGALG00010002835,CYFIP1,418677
ENSGALG00010002836,,
ENSGALG00010002837,DNMT1,396011
ENSGALG00010002838,,
ENSGALG00010002839,,
ENSGALG00010002840,SRPX,418579
ENSGALG00010002841,,
ENSGALG00010002842,,
ENSGALG00010002843,,
ENSGALG00010002844,,101748456
ENSGALG00010002845,,
ENSGALG00010002846,,
ENSGALG00010002847,,
ENSGALG00010002848,TRIB2,378919
ENSGALG00010002849,,
ENSGALG00010002850,,
ENSGALG00010002851,,
ENSGALG00010002852,,
ENSGALG00010002853,CEP162,421835
ENSGALG00010002854,,
ENSGALG00010002855,RACK1,417044
ENSGALG00010002856,,
ENSGALG00010002857,DCAF15,112530997
ENSGALG00010002858,,
ENSGALG00010002859,,
ENSGALG00010002860,NIPA2,418680
ENSGALG00010002861,,
ENSGALG00010002862,,
ENSGALG00010002863,,
ENSGALG00010002864,RNASEH2B,418874
ENSGALG00010002865,,
ENSGALG00010002866,,768783
ENSGALG00010002867,,
ENSGALG00010002868,PPP1R9A,420568
ENSGALG00010002869,,
ENSGALG00010002870,FABP5,420197
ENSGALG00010002871,,
ENSGALG00010002872,,
ENSGALG00010002873,MRAP2,421836
ENSGALG00010002874,,
ENSGALG00010002875,,
ENSGALG00010002876,,
ENSGALG00010002877,,
ENSGALG00010002878,P2RY2,428108
ENSGALG00010002879,,
ENSGALG00010002880,RASGEF1B,100859744
ENSGALG00010002881,,100858749
ENSGALG00010002882,,
ENSGALG00010002883,MAP3K15,418609
ENSGALG00010002884,ADHFE1,426446
ENSGALG00010002885,,
ENSGALG00010002886,HERC2,418682
ENSGALG00010002887,,
ENSGALG00010002888,FAM124A,770395
ENSGALG00010002889,,
ENSGALG00010002890,VXN,426416
ENSGALG00010002891,,
ENSGALG00010002892,,
ENSGALG00010002893,,
ENSGALG00010002894,,419068
ENSGALG00010002895,,
ENSGALG00010002896,OCA2,428009
ENSGALG00010002897,SERPINE3,418875
ENSGALG00010002898,,
ENSGALG00010002899,,
ENSGALG00010002900,,
ENSGALG00010002901,,
ENSGALG00010002902,,
ENSGALG00010002903,,
ENSGALG00010002904,PON1,395830
ENSGALG00010002905,,
ENSGALG00010002906,,
ENSGALG00010002907,GABRG3,770097
ENSGALG00010002908,S1PR2,100857976
ENSGALG00010002909,,
ENSGALG00010002910,,
ENSGALG00010002911,MYBL1,396158
ENSGALG00010002912,RPS3,419069
ENSGALG00010002913,NXNL1,426009
ENSGALG00010002914,SLC27A1,426008
ENSGALG00010002915,,
ENSGALG00010002916,SDCBP,421136
ENSGALG00010002917,PGLS,430442
ENSGALG00010002918,FAM84A,421946
ENSGALG00010002919,,100859056
ENSGALG00010002920,VCPIP1,428359
ENSGALG00010002921,,
ENSGALG00010002922,TMEM106B,420586
ENSGALG00010002923,SERPINH1,396228
ENSGALG00010002924,,
ENSGALG00010002925,INTS6,418876
ENSGALG00010002926,GALNTL6,422560
ENSGALG00010002927,GABRA5,418684
ENSGALG00010002928,ASB4,420569
ENSGALG00010002929,PDHA2,418610
ENSGALG00010002930,,395159
ENSGALG00010002931,,
ENSGALG00010002932,,
ENSGALG00010002933,,
ENSGALG00010002934,VWDE,420587
ENSGALG00010002935,SYTL5,427990
ENSGALG00010002936,,
ENSGALG00010002937,GALNT7,422561
ENSGALG00010002938,,
ENSGALG00010002939,HMGB2,396482
ENSGALG00010002940,BG1,426940
ENSGALG00010002941,,
ENSGALG00010002942,GABRB3,396290
ENSGALG00010002943,SAP30,422562
ENSGALG00010002944,,
ENSGALG00010002945,,
ENSGALG00010002946,GDPD5,419070
ENSGALG00010002947,,121107416
ENSGALG00010002948,DLX6,772070
ENSGALG00010002949,,107052718
ENSGALG00010002950,,
ENSGALG00010002951,,
ENSGALG00010002952,NBAS,421947
ENSGALG00010002953,WDFY2,770107
ENSGALG00010002954,CHST7,107051963
ENSGALG00010002955,BLEC1,404776
ENSGALG00010002956,SCRG1,422563
ENSGALG00010002957,ADGRG2,418611
ENSGALG00010002958,,770438
ENSGALG00010002959,DLX5,373969
ENSGALG00010002960,BLEC2,693259
ENSGALG00010002961,,112531995
ENSGALG00010002962,,121109386
ENSGALG00010002963,,
ENSGALG00010002964,,
ENSGALG00010002965,PRSS35,421839
ENSGALG00010002966,,
ENSGALG00010002967,OLFM4,418826
ENSGALG00010002968,,
ENSGALG00010002969,,
ENSGALG00010002970,,
ENSGALG00010002971,,121111171
ENSGALG00010002972,ME1,374189
ENSGALG00010002973,U1,
ENSGALG00010002974,,
ENSGALG00010002975,,
ENSGALG00010002976,,
ENSGALG00010002977,gga-mir-1622,100315747
ENSGALG00010002978,DYNLT3,418580
ENSGALG00010002979,,
ENSGALG00010002980,,
ENSGALG00010002981,KLHL35,101747275
ENSGALG00010002982,HAND2,395813
ENSGALG00010002983,NSMAF,421137
ENSGALG00010002984,gga-mir-196-2,102466811
ENSGALG00010002984,gga-mir-196-2,102465680
ENSGALG00010002984,gga-mir-196-2,777944
ENSGALG00010002985,,107049411
ENSGALG00010002986,,
ENSGALG00010002987,PCDH8,428065
ENSGALG00010002988,gga-mir-148a,777943
ENSGALG00010002989,,
ENSGALG00010002990,gga-mir-1732-1,102465679
ENSGALG00010002990,gga-mir-1732-1,102465678
ENSGALG00010002990,gga-mir-1732-1,100315809
ENSGALG00010002991,BLB1,693256
ENSGALG00010002992,CHN2,
ENSGALG00010002993,,
ENSGALG00010002994,DUSP4,395642
ENSGALG00010002995,RWDD2A,421840
ENSGALG00010002996,,
ENSGALG00010002997,,
ENSGALG00010002998,LECT1,395600
ENSGALG00010002999,CMTM7,420666
ENSGALG00010003000,,
ENSGALG00010003001,MAP6,395753
ENSGALG00010003002,PHKA2,418612
ENSGALG00010003003,,
ENSGALG00010003004,,
ENSGALG00010003005,,
ENSGALG00010003006,CYP7B1,420164
ENSGALG00010003007,,
ENSGALG00010003008,,
ENSGALG00010003009,TNKS,374252
ENSGALG00010003010,,
ENSGALG00010003011,,
ENSGALG00010003012,,
ENSGALG00010003013,,
ENSGALG00010003014,,
ENSGALG00010003015,,
ENSGALG00010003016,,
ENSGALG00010003017,PGM3,421841
ENSGALG00010003018,MOGAT2,426437
ENSGALG00010003019,TAPBP,417048
ENSGALG00010003020,,
ENSGALG00010003021,,
ENSGALG00010003022,BLB2,101747454
ENSGALG00010003023,,
ENSGALG00010003024,SUGT1,418827
ENSGALG00010003025,MFHAS1,101750338
ENSGALG00010003026,,
ENSGALG00010003027,SCIN,420588
ENSGALG00010003028,,
ENSGALG00010003029,,
ENSGALG00010003030,PPEF1,427999
ENSGALG00010003031,,
ENSGALG00010003032,,
ENSGALG00010003033,,
ENSGALG00010003034,ERI1,422629
ENSGALG00010003035,DGAT2,421309
ENSGALG00010003036,,
ENSGALG00010003037,,
ENSGALG00010003038,,
ENSGALG00010003039,,
ENSGALG00010003040,RS1,772315
ENSGALG00010003041,,121111178
ENSGALG00010003042,TOX,421138
ENSGALG00010003043,,
ENSGALG00010003044,,
ENSGALG00010003045,,
ENSGALG00010003046,,
ENSGALG00010003047,,112531497
ENSGALG00010003048,,
ENSGALG00010003049,,
ENSGALG00010003050,,
ENSGALG00010003051,ART1L3,395661
ENSGALG00010003052,ZFX,418596
ENSGALG00010003053,,
ENSGALG00010003054,,
ENSGALG00010003055,,
ENSGALG00010003056,,
ENSGALG00010003057,DDX1,395249
ENSGALG00010003058,,
ENSGALG00010003059,,
ENSGALG00010003060,,
ENSGALG00010003061,ABCB5,420606
ENSGALG00010003062,,
ENSGALG00010003063,GGH,421144
ENSGALG00010003064,VAV1,107050724
ENSGALG00010003065,,
ENSGALG00010003066,,
ENSGALG00010003067,,
ENSGALG00010003068,BRD2,417049
ENSGALG00010003069,,
ENSGALG00010003070,,
ENSGALG00010003071,,
ENSGALG00010003072,ELF1,418828
ENSGALG00010003073,,
ENSGALG00010003074,TTPA,771074
ENSGALG00010003075,,
ENSGALG00010003076,,
ENSGALG00010003077,EIF2S3,418597
ENSGALG00010003078,,
ENSGALG00010003079,SP8,776034
ENSGALG00010003080,,
ENSGALG00010003081,DOP1A,421842
ENSGALG00010003082,,
ENSGALG00010003083,,
ENSGALG00010003084,,
ENSGALG00010003085,,
ENSGALG00010003086,,101750509
ENSGALG00010003087,TWISTNB,420603
ENSGALG00010003088,,
ENSGALG00010003089,,
ENSGALG00010003090,DMA,417050
ENSGALG00010003091,,
ENSGALG00010003092,,396008
ENSGALG00010003093,,
ENSGALG00010003094,,
ENSGALG00010003095,,
ENSGALG00010003096,,
ENSGALG00010003097,TFPI2,420561
ENSGALG00010003098,,
ENSGALG00010003099,,
ENSGALG00010003100,,
ENSGALG00010003101,KLHL15,418598
ENSGALG00010003102,,
ENSGALG00010003103,YTHDF3,421145
ENSGALG00010003104,,
ENSGALG00010003105,,
ENSGALG00010003106,,
ENSGALG00010003107,GNG11,771999
ENSGALG00010003108,PPP1R3B,422630
ENSGALG00010003109,ART5,107052467
ENSGALG00010003110,BF1,693260
ENSGALG00010003111,,
ENSGALG00010003112,,
ENSGALG00010003113,WBP4,418829
ENSGALG00010003114,CHRNA10,430628
ENSGALG00010003115,UBE3D,421843
ENSGALG00010003116,,
ENSGALG00010003117,ID2,395852
ENSGALG00010003118,,
ENSGALG00010003119,,
ENSGALG00010003120,,
ENSGALG00010003121,ARMC1,429406
ENSGALG00010003122,,
ENSGALG00010003123,,
ENSGALG00010003124,,
ENSGALG00010003125,APOO,418599
ENSGALG00010003126,,430303
ENSGALG00010003127,,
ENSGALG00010003128,,
ENSGALG00010003129,,
ENSGALG00010003130,,
ENSGALG00010003131,TAP1,427727
ENSGALG00010003132,TPBG,772098
ENSGALG00010003133,SAT1,374006
ENSGALG00010003134,,
ENSGALG00010003135,,
ENSGALG00010003136,NUP98,430616
ENSGALG00010003137,,
ENSGALG00010003138,,
ENSGALG00010003139,,
ENSGALG00010003140,,
ENSGALG00010003141,,
ENSGALG00010003142,,
ENSGALG00010003143,,
ENSGALG00010003144,,
ENSGALG00010003145,,
ENSGALG00010003146,,
ENSGALG00010003147,,
ENSGALG00010003148,,
ENSGALG00010003149,,
ENSGALG00010003150,,
ENSGALG00010003151,,
ENSGALG00010003152,,420562
ENSGALG00010003153,,
ENSGALG00010003154,MTFR1,395222
ENSGALG00010003155,,
ENSGALG00010003156,,
ENSGALG00010003157,,
ENSGALG00010003158,,
ENSGALG00010003159,TAP2,427728
ENSGALG00010003160,KIDINS220,421924
ENSGALG00010003161,,121107738
ENSGALG00010003162,,
ENSGALG00010003163,,
ENSGALG00010003164,C3,
ENSGALG00010003165,BMP2K,422578
ENSGALG00010003166,PGAP2,100859632
ENSGALG00010003167,,
ENSGALG00010003168,,
ENSGALG00010003169,MTRF1,418830
ENSGALG00010003170,C4,426611
ENSGALG00010003171,PAQR3,770386
ENSGALG00010003172,,
ENSGALG00010003173,,
ENSGALG00010003174,,
ENSGALG00010003175,,
ENSGALG00010003176,PRAG1,422632
ENSGALG00010003177,SNORA19,112532736
ENSGALG00010003178,CENPA,100113359
ENSGALG00010003179,,112532737
ENSGALG00010003180,IBTK,421844
ENSGALG00010003181,gga-mir-1726,100315984
ENSGALG00010003182,,
ENSGALG00010003183,NAA16,418832
ENSGALG00010003184,BET1,420563
ENSGALG00010003185,gga-mir-7472,102466832
ENSGALG00010003186,CYP21A1,429828
ENSGALG00010003187,RHOG,100859599
ENSGALG00010003188,,
ENSGALG00010003189,ANTXR2,422580
ENSGALG00010003190,,
ENSGALG00010003191,CC2D1A,
ENSGALG00010003192,RGCC,418833
ENSGALG00010003193,ACOT9,418600
ENSGALG00010003194,,
ENSGALG00010003195,,
ENSGALG00010003196,,
ENSGALG00010003197,,
ENSGALG00010003198,PRKG2,428753
ENSGALG00010003199,,
ENSGALG00010003200,,
ENSGALG00010003201,MBOAT2,421925
ENSGALG00010003202,FAM46A,421845
ENSGALG00010003203,,
ENSGALG00010003204,PKD2,422585
ENSGALG00010003205,,396106
ENSGALG00010003206,,
ENSGALG00010003207,,
ENSGALG00010003208,,
ENSGALG00010003209,,
ENSGALG00010003210,EYA1,395718
ENSGALG00010003211,,
ENSGALG00010003212,LTB4R,
ENSGALG00010003213,,
ENSGALG00010003214,PRDX4,418601
ENSGALG00010003215,,
ENSGALG00010003216,,
ENSGALG00010003217,,
ENSGALG00010003218,MAP3K7,421808
ENSGALG00010003219,,
ENSGALG00010003220,SPP1,395210
ENSGALG00010003221,,
ENSGALG00010003222,ITGA8,396225
ENSGALG00010003223,AREG,428752
ENSGALG00010003224,,
ENSGALG00010003225,,
ENSGALG00010003226,,
ENSGALG00010003227,PLAC8L1,770777
ENSGALG00010003228,,
ENSGALG00010003229,STIM1,419082
ENSGALG00010003230,,
ENSGALG00010003231,,
ENSGALG00010003232,,
ENSGALG00010003233,gga-mir-1397,100315695
ENSGALG00010003234,,
ENSGALG00010003235,gga-mir-7448,102465724
ENSGALG00010003236,gga-mir-1805,100316000
ENSGALG00010003237,,100859837
ENSGALG00010003238,HEPACAM2,772177
ENSGALG00010003239,RRM1,419081
ENSGALG00010003240,PLACL2,100857411
ENSGALG00010003241,,101748297
ENSGALG00010003242,ASAP2,768599
ENSGALG00010003243,VPS50,420560
ENSGALG00010003244,,
ENSGALG00010003245,,112530983
ENSGALG00010003246,VWA8,428066
ENSGALG00010003247,,
ENSGALG00010003248,MRI1,107049831
ENSGALG00010003249,YJU2B,107049832
ENSGALG00010003250,CD1C,425801
ENSGALG00010003251,ELOF1,107057620
ENSGALG00010003252,PHEX,395777
ENSGALG00010003253,ITGB1BP1,421928
ENSGALG00010003254,DGKH,769506
ENSGALG00010003255,CALCR,428425
ENSGALG00010003256,,
ENSGALG00010003257,,
ENSGALG00010003258,,
ENSGALG00010003259,VEGFC,422573
ENSGALG00010003260,ACP5,107057619
ENSGALG00010003261,PEX2,420192
ENSGALG00010003262,,
ENSGALG00010003263,,
ENSGALG00010003264,,
ENSGALG00010003265,,107055859
ENSGALG00010003265,,425647
ENSGALG00010003266,,121109494
ENSGALG00010003266,,768434
ENSGALG00010003267,,
ENSGALG00010003268,SMS,418602
ENSGALG00010003269,,428119
ENSGALG00010003270,,429798
ENSGALG00010003271,AKAP11,418835
ENSGALG00010003272,CPSF3,421929
ENSGALG00010003273,NFIX,396207
ENSGALG00010003274,BACH2,121106461
ENSGALG00010003275,MBTPS2,427996
ENSGALG00010003276,TNFSF11,428067
ENSGALG00010003277,,112533538
ENSGALG00010003278,,
ENSGALG00010003279,,
ENSGALG00010003280,,
ENSGALG00010003281,,
ENSGALG00010003282,,
ENSGALG00010003283,,418836
ENSGALG00010003284,,
ENSGALG00010003285,,
ENSGALG00010003286,,
ENSGALG00010003287,,
ENSGALG00010003288,,
ENSGALG00010003289,,
ENSGALG00010003290,,
ENSGALG00010003291,,
ENSGALG00010003292,GADD45GIP1,107055382
ENSGALG00010003293,,
ENSGALG00010003294,,
ENSGALG00010003295,IAH1,421930
ENSGALG00010003296,,107049066
ENSGALG00010003297,,
ENSGALG00010003298,IL7,420193
ENSGALG00010003299,RAD23A,100859241
ENSGALG00010003300,CASP8AP2,421810
ENSGALG00010003301,,
ENSGALG00010003302,,
ENSGALG00010003303,MTHFD2L,770327
ENSGALG00010003304,,107050168
ENSGALG00010003305,CALR,100859104
ENSGALG00010003306,,
ENSGALG00010003307,COL1A2,396243
ENSGALG00010003308,MDN1,421811
ENSGALG00010003309,,
ENSGALG00010003310,,
ENSGALG00010003311,,
ENSGALG00010003312,,
ENSGALG00010003313,,
ENSGALG00010003314,,
ENSGALG00010003315,EPGN,497270
ENSGALG00010003316,,
ENSGALG00010003317,LYRM2,421812
ENSGALG00010003318,,
ENSGALG00010003319,,
ENSGALG00010003320,OR51E2,419080
ENSGALG00010003321,,
ENSGALG00010003322,EREG,408036
ENSGALG00010003323,STMN2,396095
ENSGALG00010003324,,
ENSGALG00010003325,,
ENSGALG00010003326,,
ENSGALG00010003327,,
ENSGALG00010003328,,
ENSGALG00010003329,,
ENSGALG00010003330,HEY1,428365
ENSGALG00010003331,EPSTI1,418837
ENSGALG00010003332,,
ENSGALG00010003333,,
ENSGALG00010003334,TAC1,420573
ENSGALG00010003335,,
ENSGALG00010003336,,
ENSGALG00010003337,,
ENSGALG00010003338,,
ENSGALG00010003339,,769317
ENSGALG00010003340,,
ENSGALG00010003341,,
ENSGALG00010003342,,
ENSGALG00010003343,,
ENSGALG00010003344,ZFAND1,420200
ENSGALG00010003345,,
ENSGALG00010003346,,
ENSGALG00010003347,GPM6A,422569
ENSGALG00010003348,ADAM17,421931
ENSGALG00010003349,OR51M1,428116
ENSGALG00010003350,,
ENSGALG00010003351,,
ENSGALG00010003352,FARSA,
ENSGALG00010003353,,
ENSGALG00010003354,,
ENSGALG00010003355,,
ENSGALG00010003356,,
ENSGALG00010003357,,
ENSGALG00010003358,DNAJC15,418838
ENSGALG00010003359,,
ENSGALG00010003360,,
ENSGALG00010003361,,
ENSGALG00010003362,,
ENSGALG00010003363,HBE1,428114
ENSGALG00010003364,ANKRD6,421813
ENSGALG00010003365,,
ENSGALG00010003366,CASD1,420565
ENSGALG00010003367,,
ENSGALG00010003368,,
ENSGALG00010003369,,
ENSGALG00010003370,,
ENSGALG00010003371,,
ENSGALG00010003372,ENOX1,418839
ENSGALG00010003373,,
ENSGALG00010003374,SYCE2,100859541
ENSGALG00010003375,YWHAQ,421932
ENSGALG00010003376,,
ENSGALG00010003377,,
ENSGALG00010003378,,
ENSGALG00010003379,,
ENSGALG00010003380,,
ENSGALG00010003381,,
ENSGALG00010003382,ASNS,420574
ENSGALG00010003383,UBE2J1,395528
ENSGALG00010003384,WDR17,422570
ENSGALG00010003385,,
ENSGALG00010003386,,
ENSGALG00010003387,,
ENSGALG00010003388,PXDN,421914
ENSGALG00010003389,,
ENSGALG00010003390,,
ENSGALG00010003391,,
